epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6874.78,0.80963,0.92618,0.65944,0.97072,0.94008,0.98022,0.87387,0.574,0.62834,0.58049,0.00165222,0.00165222,0.00165222
43,7034.84,0.80946,0.93027,0.65954,0.97084,0.94409,0.97918,0.86978,0.55681,0.61457,0.58578,0.00163532,0.00163532,0.00163532
44,7200.27,0.8124,0.9319,0.66244,0.96926,0.95282,0.98257,0.87581,0.54566,0.60822,0.56826,0.00161842,0.00161842,0.00161842
45,7365.27,0.80584,0.93326,0.66019,0.96224,0.9478,0.97845,0.87794,0.53471,0.59686,0.56713,0.00160153,0.00160153,0.00160153
46,7525.64,0.80938,0.92274,0.6637,0.97224,0.94421,0.9813,0.87826,0.53257,0.60145,0.56755,0.00158463,0.00158463,0.00158463
47,7685.87,0.79611,0.90799,0.65815,0.96818,0.94773,0.9802,0.87554,0.53494,0.60542,0.56938,0.00156773,0.00156773,0.00156773
48,7847.45,0.78877,0.90971,0.65367,0.9626,0.94654,0.97811,0.8785,0.53043,0.59641,0.57062,0.00155083,0.00155083,0.00155083
49,8009.25,0.79118,0.92064,0.65605,0.97352,0.94793,0.97953,0.87733,0.54696,0.57594,0.57502,0.00153394,0.00153394,0.00153394
50,8171.8,0.78544,0.895,0.65126,0.96821,0.94514,0.98081,0.883,0.51583,0.58085,0.55921,0.00151704,0.00151704,0.00151704
51,8331.24,0.786,0.88695,0.65081,0.97566,0.95052,0.9814,0.88337,0.53671,0.57212,0.5675,0.00150014,0.00150014,0.00150014
52,8498.44,0.7966,0.91118,0.65186,0.97102,0.95032,0.98127,0.88506,0.51824,0.57368,0.56413,0.00148325,0.00148325,0.00148325
53,8659.51,0.77408,0.87924,0.64453,0.96879,0.95229,0.98171,0.89053,0.50446,0.5683,0.55784,0.00146635,0.00146635,0.00146635
54,8821.12,0.77774,0.88494,0.65038,0.96219,0.95119,0.9825,0.88634,0.50932,0.57147,0.56328,0.00144945,0.00144945,0.00144945
55,8981,0.77227,0.88073,0.65004,0.9701,0.95042,0.98145,0.88229,0.50989,0.564,0.56209,0.00143255,0.00143255,0.00143255
56,9144.11,0.76127,0.87174,0.64487,0.9693,0.95397,0.98333,0.88939,0.51819,0.57362,0.56786,0.00141566,0.00141566,0.00141566
57,9307.92,0.76366,0.8551,0.64349,0.96803,0.9563,0.9826,0.88739,0.51638,0.569,0.57104,0.00139876,0.00139876,0.00139876
58,9467.84,0.7652,0.88069,0.64446,0.97244,0.95145,0.98211,0.88486,0.51559,0.56763,0.56955,0.00138186,0.00138186,0.00138186
59,9630.88,0.76069,0.86555,0.64656,0.95686,0.95896,0.98097,0.88534,0.50772,0.57251,0.56482,0.00136497,0.00136497,0.00136497
60,9791.57,0.76254,0.86861,0.64825,0.96265,0.9549,0.98156,0.88337,0.51519,0.58217,0.57083,0.00134807,0.00134807,0.00134807
61,9953.26,0.75272,0.8558,0.645,0.96833,0.95955,0.98186,0.8897,0.50757,0.54953,0.56622,0.00133117,0.00133117,0.00133117
62,10117,0.75116,0.84364,0.64486,0.97482,0.95165,0.98218,0.89309,0.50534,0.55584,0.56681,0.00131427,0.00131427,0.00131427
63,10279.4,0.75275,0.83069,0.6447,0.96898,0.95165,0.98104,0.89354,0.49527,0.53784,0.55836,0.00129738,0.00129738,0.00129738
64,10444.5,0.74074,0.84254,0.63844,0.96577,0.95763,0.98211,0.89559,0.49204,0.55059,0.55394,0.00128048,0.00128048,0.00128048
65,10603.1,0.73782,0.83741,0.63518,0.97718,0.95577,0.98294,0.89681,0.49787,0.53463,0.55694,0.00126358,0.00126358,0.00126358
66,10766.7,0.73629,0.8427,0.63346,0.96707,0.95583,0.98144,0.89404,0.49207,0.53599,0.55653,0.00124669,0.00124669,0.00124669
67,10926.9,0.73446,0.83515,0.63467,0.972,0.95676,0.98286,0.89433,0.50878,0.53171,0.56385,0.00122979,0.00122979,0.00122979
68,11088,0.73477,0.82462,0.63728,0.97374,0.9481,0.98177,0.89812,0.49391,0.52825,0.55694,0.00121289,0.00121289,0.00121289
69,11255,0.73073,0.82279,0.63023,0.9729,0.95138,0.9813,0.89759,0.47839,0.53425,0.54994,0.001196,0.001196,0.001196
70,11416.6,0.7302,0.83204,0.63593,0.96923,0.95305,0.98156,0.89837,0.47814,0.54239,0.55578,0.0011791,0.0011791,0.0011791
71,11578.4,0.72498,0.8152,0.63377,0.96894,0.95351,0.98282,0.89823,0.48384,0.54274,0.55391,0.0011622,0.0011622,0.0011622
72,11738.9,0.71833,0.80712,0.6309,0.96359,0.9563,0.98125,0.89832,0.48367,0.53353,0.55616,0.0011453,0.0011453,0.0011453
73,11906.1,0.71406,0.80384,0.63203,0.97015,0.95444,0.98285,0.90548,0.46639,0.52513,0.54987,0.00112841,0.00112841,0.00112841
74,12064,0.71202,0.80645,0.63042,0.96897,0.95825,0.98157,0.89884,0.47726,0.51951,0.55249,0.00111151,0.00111151,0.00111151
75,12223.6,0.71985,0.80555,0.63416,0.97196,0.95955,0.98236,0.89856,0.48348,0.52552,0.55346,0.00109461,0.00109461,0.00109461
76,12388.4,0.70884,0.78331,0.62398,0.97017,0.95769,0.9827,0.90257,0.48078,0.52795,0.55551,0.00107772,0.00107772,0.00107772
77,12554,0.70923,0.80416,0.62857,0.96871,0.9563,0.98279,0.90452,0.47233,0.52387,0.54881,0.00106082,0.00106082,0.00106082
78,12717.2,0.70817,0.78074,0.62719,0.97191,0.94915,0.98099,0.90296,0.47338,0.53296,0.54995,0.00104392,0.00104392,0.00104392
79,12872.5,0.70613,0.79374,0.62557,0.96443,0.95792,0.98402,0.90825,0.46972,0.51959,0.54447,0.00102702,0.00102702,0.00102702
80,13035.6,0.69232,0.77391,0.62064,0.96997,0.96091,0.98451,0.90579,0.47178,0.50738,0.54993,0.00101013,0.00101013,0.00101013
81,13197.6,0.6992,0.78342,0.62706,0.968,0.96188,0.98302,0.90584,0.45866,0.51373,0.54187,0.000993229,0.000993229,0.000993229
82,13360.3,0.69924,0.78395,0.62296,0.96813,0.96027,0.98254,0.90953,0.4542,0.50421,0.54226,0.000976332,0.000976332,0.000976332
83,13522.3,0.68655,0.77367,0.61951,0.9708,0.95819,0.98332,0.90699,0.45563,0.51034,0.54237,0.000959435,0.000959435,0.000959435
84,13684.3,0.69009,0.76595,0.62258,0.96475,0.9642,0.98382,0.90524,0.45915,0.50942,0.54442,0.000942538,0.000942538,0.000942538
85,13848.5,0.68559,0.76039,0.61799,0.97039,0.95991,0.98319,0.90717,0.45268,0.49915,0.54153,0.000925641,0.000925641,0.000925641
86,14011.1,0.68637,0.77008,0.61684,0.96814,0.96057,0.98458,0.90877,0.45698,0.50112,0.54004,0.000908744,0.000908744,0.000908744
87,14169.5,0.67782,0.76462,0.61342,0.97148,0.95723,0.98629,0.91108,0.44845,0.50022,0.53707,0.000891847,0.000891847,0.000891847
88,14337.5,0.6817,0.75171,0.61242,0.96964,0.96095,0.98506,0.91137,0.45188,0.50935,0.54046,0.00087495,0.00087495,0.00087495
89,14497.6,0.67273,0.75818,0.61059,0.9684,0.96374,0.98574,0.90967,0.45623,0.50541,0.54258,0.000858052,0.000858052,0.000858052
90,14659.9,0.67634,0.75434,0.61247,0.97336,0.95862,0.98589,0.91233,0.45131,0.50296,0.53864,0.000841155,0.000841155,0.000841155
91,14824.1,0.66038,0.73203,0.60822,0.97208,0.96048,0.98539,0.91243,0.45748,0.49641,0.54231,0.000824258,0.000824258,0.000824258
92,14982.6,0.66277,0.7421,0.60845,0.97105,0.96048,0.98579,0.91346,0.45455,0.49331,0.54053,0.000807361,0.000807361,0.000807361
93,15146.4,0.67417,0.74879,0.61226,0.96897,0.96048,0.98482,0.912,0.45367,0.49902,0.5407,0.000790464,0.000790464,0.000790464
94,15309.5,0.66562,0.72663,0.60529,0.97585,0.95786,0.98463,0.91219,0.45421,0.49268,0.54029,0.000773567,0.000773567,0.000773567
95,15468.8,0.67503,0.75444,0.61329,0.97677,0.95766,0.98493,0.91503,0.45367,0.48725,0.53779,0.00075667,0.00075667,0.00075667
96,15628.7,0.64934,0.70709,0.60438,0.97129,0.95926,0.9836,0.91324,0.45259,0.49094,0.53858,0.000739772,0.000739772,0.000739772
97,15792.1,0.65948,0.73011,0.60747,0.97079,0.96141,0.98345,0.91171,0.45079,0.49049,0.53688,0.000722875,0.000722875,0.000722875
98,15954.2,0.66766,0.74694,0.61306,0.96989,0.95833,0.98329,0.91342,0.44925,0.48968,0.53523,0.000705978,0.000705978,0.000705978
99,16115.6,0.66036,0.72424,0.60871,0.97082,0.95895,0.98335,0.91357,0.44534,0.48997,0.53525,0.000689081,0.000689081,0.000689081
100,16276,0.6522,0.72073,0.6059,0.97037,0.95923,0.98446,0.91251,0.4522,0.4938,0.53946,0.000672184,0.000672184,0.000672184
101,16436.5,0.6479,0.71104,0.60068,0.97262,0.95772,0.98416,0.91239,0.45238,0.48809,0.53854,0.000655287,0.000655287,0.000655287
102,16598.7,0.65437,0.72119,0.60901,0.9645,0.96095,0.98333,0.91401,0.4519,0.48363,0.53894,0.00063839,0.00063839,0.00063839
103,16764.8,0.65083,0.71723,0.60596,0.96801,0.95723,0.98326,0.91369,0.45005,0.48769,0.53828,0.000621493,0.000621493,0.000621493
104,16924.8,0.63829,0.70203,0.60422,0.97005,0.95909,0.98311,0.91486,0.44659,0.48734,0.53767,0.000604595,0.000604595,0.000604595
105,17088.9,0.63309,0.7063,0.60316,0.96774,0.96224,0.98353,0.91554,0.44561,0.48917,0.53866,0.000587698,0.000587698,0.000587698
106,17253,0.63922,0.70748,0.60576,0.97446,0.9579,0.98321,0.91547,0.44664,0.48998,0.5398,0.000570801,0.000570801,0.000570801
107,17416.6,0.64159,0.70923,0.60396,0.96373,0.96339,0.98359,0.91674,0.44653,0.47642,0.5387,0.000553904,0.000553904,0.000553904
108,17583.1,0.63484,0.702,0.60164,0.9712,0.95769,0.98349,0.91576,0.44244,0.48066,0.5362,0.000537007,0.000537007,0.000537007
109,17745,0.62653,0.70489,0.60308,0.97062,0.96095,0.98497,0.91646,0.43994,0.48121,0.53808,0.00052011,0.00052011,0.00052011
110,17907.4,0.62563,0.68985,0.60193,0.97215,0.95739,0.98481,0.9163,0.44019,0.48019,0.53896,0.000503213,0.000503213,0.000503213
111,18069.4,0.62603,0.69371,0.60053,0.97079,0.95805,0.98464,0.91701,0.44165,0.48082,0.54059,0.000486315,0.000486315,0.000486315
112,18231.1,0.62509,0.69518,0.60131,0.97259,0.9566,0.98455,0.91681,0.43923,0.48145,0.54004,0.000469418,0.000469418,0.000469418
113,18393.8,0.62123,0.69476,0.59852,0.97392,0.95493,0.98403,0.91633,0.43908,0.48577,0.54044,0.000452521,0.000452521,0.000452521
114,18556.3,0.62013,0.69229,0.59932,0.97503,0.95816,0.98402,0.91717,0.4374,0.48749,0.53888,0.000435624,0.000435624,0.000435624
115,18715.5,0.61526,0.68586,0.59661,0.97351,0.95692,0.98418,0.91702,0.43726,0.48776,0.53864,0.000418727,0.000418727,0.000418727
116,18887,0.47587,0.40949,0.55726,0.97399,0.95739,0.98383,0.91634,0.43906,0.48501,0.54017,0.00040183,0.00040183,0.00040183
117,19035.2,0.46677,0.41084,0.54861,0.97352,0.95712,0.98368,0.91582,0.43974,0.48335,0.54066,0.000384933,0.000384933,0.000384933
118,19184.3,0.46182,0.39986,0.54879,0.97516,0.9563,0.98306,0.9139,0.44131,0.48681,0.54146,0.000368036,0.000368036,0.000368036
119,19336.1,0.45673,0.39826,0.54483,0.97625,0.95351,0.98227,0.91324,0.44256,0.4867,0.54238,0.000351138,0.000351138,0.000351138
120,19487.3,0.45449,0.39236,0.54504,0.97259,0.95664,0.98289,0.9134,0.44315,0.48684,0.54279,0.000334241,0.000334241,0.000334241
121,19636.7,0.44676,0.39219,0.54424,0.9735,0.95638,0.98309,0.91305,0.44268,0.48669,0.54295,0.000317344,0.000317344,0.000317344
122,19790.5,0.44683,0.38536,0.5406,0.97322,0.95723,0.98284,0.91241,0.44401,0.48515,0.54409,0.000300447,0.000300447,0.000300447
123,19939,0.44017,0.38296,0.54171,0.97407,0.95676,0.9822,0.91166,0.44354,0.48693,0.54431,0.00028355,0.00028355,0.00028355
124,20090.1,0.4425,0.38318,0.53976,0.97439,0.95583,0.98203,0.91137,0.44446,0.49017,0.54472,0.000266653,0.000266653,0.000266653
125,20242.2,0.43539,0.37746,0.53617,0.97439,0.95526,0.98218,0.91071,0.44552,0.48859,0.54506,0.000249756,0.000249756,0.000249756
